"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RVPQCCET","conferencePaper","2019","Dhieb, N.; Ghazzai, H.; Besbes, H.; Massoud, Y.","An Automated Blood Cells Counting and Classification Framework using Mask R-CNN Deep Learning Model","2019 31st International Conference on Microelectronics (ICM)","","","10.1109/ICM48031.2019.9021862","","Bioengineering is the art of applying engineering principles, techniques, and technologies to biology and medicine for general healthcare applications. Analyzing human biological samples such as blood, has become essential for physicians to diagnose and follow diseases evolution. Traditional blood cells counting techniques used in laboratories are time consuming and laborious. They can lead to inaccurate results due to the human intervention in this complicated process. In this paper, we propose an automated blood cells counting framework using convolutional neural network (CNN), instance segmentation, transfer learning, and mask R-CNN techniques. Red and white blood cells are identified, classified, and counted from microscopic blood smear images. The obtained results reveal highly detection rate of different blood cells. In addition, unlike other state-of-the-art techniques, our proposed method has the ability to identify overlapped and faded cells.","2019-12","2021-01-29 18:54:45","2021-01-29 18:54:45","","300-303","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Sebastian\Zotero\storage\UIQXXUBY\Dhieb et al. - 2019 - An Automated Blood Cells Counting and Classificati.pdf; C:\Users\Sebastian\Zotero\storage\HSZFNFJD\9021862.html","","","automated blood cells; biomedical optical imaging; blood; Blood; Cells (biology); Cells counting; cellular biophysics; classification framework; convolutional neural nets; convolutional neural network; deep learning; diseases; diseases evolution; Feature extraction; health care; healthcare applications; human biological samples; image classification; image segmentation; Image segmentation; instance segmentation; learning (artificial intelligence); Machine learning; mask R-CNN; medical image processing; microscopic blood smear images; Microscopy; object detection; R-CNN deep learning model; R-CNN techniques; traditional blood cells; transfer learning; white blood cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 31st International Conference on Microelectronics (ICM)","","","","","","","","","","","","","","",""
"YRLW3C2B","conferencePaper","2017","Vogado, L. H. S.; Veras, R. D. M. S.; Andrade, A. R.; Araujo, F. H. D. de; Silva, R. R. V.; Aires, K. R. T.","Diagnosing Leukemia in Blood Smear Images Using an Ensemble of Classifiers and Pre-Trained Convolutional Neural Networks","2017 30th SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)","","","10.1109/SIBGRAPI.2017.55","","Leukemia is a worldwide disease. In this paper we demonstrate that it is possible to build an automated, efficient and rapid leukemia diagnosis system. We demonstrate that it is possible to improve the precision of current techniques from the literature using the description power of well-known Convolutional Neural Networks (CNNs). We extract features from a blood smear image using pre-trained CNNs in order to obtain an unique image description. Many feature selection techniques were evaluated and we chose PCA to select the features that are in the final descriptor. To classify the images on healthy and pathological we created an ensemble of classifiers with three individual classification algorithms (Support Vector Machine, Multilayer Perceptron and Random Forest). In the tests we obtained an accuracy rate of 100%. Besides the high accuracy rate, the tests showed that our approach requires less processing time than the methods analyzed in this paper, considering the fact that our approach does not use segmentation to obtain specific cell regions from the blood smear image.","2017-10","2021-01-29 19:15:04","2021-01-29 19:15:04","","367-373","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2377-5416","","C:\Users\Sebastian\Zotero\storage\BIITVZA5\8097335.html; C:\Users\Sebastian\Zotero\storage\ND75XUMZ\Vogado et al. - 2017 - Diagnosing Leukemia in Blood Smear Images Using an.pdf","","","blood; Blood; blood smear image; cancer; computer-aided diagnosis; convolutional neural networks; disease; diseases; Diseases; ensemble classifiers; feature extraction; Feature extraction; feature selection; image classification; Image color analysis; image description; image segmentation; Image segmentation; learning (artificial intelligence); leukemia; leukemia diagnosis system; medical image processing; multilayer perceptron; multilayer perceptrons; neural nets; Neural networks; pretrained CNN; pretrained convolutional neural networks; random forest; support vector machine; support vector machines; Support vector machines; transfer learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 30th SIBGRAPI Conference on Graphics, Patterns and Images (SIBGRAPI)","","","","","","","","","","","","","","",""
"C5HPF3XK","conferencePaper","2019","Cheng, S.; Suhua, Y.; Shaofeng, J.","Improved faster RCNN for white blood cells detection in blood smear image","2019 14th IEEE International Conference on Electronic Measurement Instruments (ICEMI)","","","10.1109/ICEMI46757.2019.9101445","","The inspection result of the white blood cell count is actually a critical part of medical diagnose. In the past five years, with the application of deep learning technique in the field of recognition of white blood cell, the classification accuracy of the white blood cell has been improved dramatically, however the extraction accuracy is still low, which limits the improvement of the total accuracy. In this paper, to solve the above problems, we proposed an algorithm of white blood cell recognition based on improved Faster RCNN. We improved RPN network by optimized the parameters of the original RPN network to make it have the ability to detect the small target. The results showed that the F1-Score improved compared with original Faster RCNN on self-built data set. The results show our method can extract the adhesion cells.","2019-11","2021-01-29 19:16:23","2021-01-29 19:16:23","","1677-1682","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Sebastian\Zotero\storage\XYRMKS6W\Cheng et al. - 2019 - Improved faster RCNN for white blood cells detecti.pdf; C:\Users\Sebastian\Zotero\storage\TMPR28HK\9101445.html","","","blood; blood smear image; Classification algorithms; Convolution; convolutional neural nets; deep learning technique; detection; faster RCNN; Faster RCNN; feature extraction; Feature extraction; image classification; learning (artificial intelligence); medical diagnose; medical image processing; object detection; patient diagnosis; Proposals; recurrent neural nets; RPN network; small target detection; Training; white blood cell; white blood cell count; white blood cell recognition; White blood cells; white blood cells detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 14th IEEE International Conference on Electronic Measurement Instruments (ICEMI)","","","","","","","","","","","","","","",""
"9CDYF4RS","journalArticle","2020","Kassim, Y. M.; Palaniappan, K.; Yang, F.; Poostchi, M.; Palaniappan, N.; Maude, R. J.; Antani, S.; Jaeger, S.","Clustering-Based Dual Deep Learning Architecture for Detecting Red Blood Cells in Malaria Diagnostic Smears","IEEE Journal of Biomedical and Health Informatics","","2168-2208","10.1109/JBHI.2020.3034863","","Computer-assisted algorithms have become a mainstay of biomedical applications to improve accuracy and reproducibility of repetitive tasks like manual segmentation and annotation. We propose a novel pipeline for red blood cell detection and counting in thin blood smear microscopy images, named RBCNet, using a dual deep learning architecture. RBCNet consists of a U-Net first stage for cell-cluster segmentation, followed by a second stage Faster R-CNN for detecting small cell objects within clusters, identified as connected components from the U-Net stage. RBCNet uses cell clustering instead of region proposals, which is robust to cell fragmentation, is highly scalable for detecting small objects or fine scale morphological structures in very large images, can be trained using non-overlapping tiles, and during inference is adaptive to the scale of cell-clusters with a low memory footprint. We tested our method on an archived collection of human malaria smears with nearly 200,000 labeled cells across 965 images from 193 patients, acquired in Bangladesh, with each patient contributing five images. Cell detection accuracy using RBCNet was higher than 97%. The novel dual cascade RBCNet architecture provides more accurate cell detections because the foreground cell-cluster masks from U-Net adaptively guide the detection stage, resulting in a notably higher true positive and lower false alarm rates, compared to traditional and other deep learning methods. The RBCNet pipeline implements a crucial step towards automated malaria diagnosis.","2020","2021-01-29 19:21:06","2021-01-29 19:21:06","","1-1","","","","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Journal of Biomedical and Health Informatics","","C:\Users\Sebastian\Zotero\storage\LWFLRS9Z\9244549.html; C:\Users\Sebastian\Zotero\storage\DB737IG3\Kassim et al. - 2020 - Clustering-Based Dual Deep Learning Architecture f.pdf","","","Blood; Computer architecture; Connected components; Deep learning; Diseases; Faster R-CNN; Image segmentation; Microprocessors; Pipelines; Red blood cells (RBCs); Semantic segmentation; Superpixel; U-Net; White blood cells (WBCs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQ2YTG6P","conferencePaper","2018","Tran, Thanh; Kwon, Oh-Heum; Kwon, Ki-Ryong; Lee, Suk-Hwan; Kang, Kyung-Won","Blood Cell Images Segmentation using Deep Learning Semantic Segmentation","2018 IEEE International Conference on Electronics and Communication Engineering (ICECE)","","","10.1109/ICECOME.2018.8644754","","Segmentation of red blood cells (RBCs) and white blood cells (WBCs) in peripheral blood smear images plays an important role in the evaluation and diagnosis a vast of disorders, including infection, leukemia, and some types of cancer. Generally, various image processing techniques are used to enhance the quality of images before the segmentation step. Therefore, the segmentation of blood cells is still a challenge. However, in this research, deep learning semantic segmentation - cutting-edge technology is applied for segmentation red blood cells and white blood cells in blood smear images. The experiment result shows that the global accuracy of our model yielded 89.45%. Besides, the accuracy of the segmentation of white blood cells, red blood cells, and the background of blood smear image reached 94.93%, 91.11%, and 87.32%, respectively.","2018-12","2021-01-29 19:24:23","2021-04-13 16:49:56","","13-16","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Sebastian\Zotero\storage\636MR6N6\8644754.html; C:\Users\Sebastian\Zotero\storage\BHFC26JT\Tran et al. - 2018 - Blood Cell Images Segmentation using Deep Learning.pdf","","","blood; blood cell images segmentation; blood smear image; cancer; cellular biophysics; CNN; Computer architecture; deep learning; deep learning semantic segmentation - cutting-edge technology; diseases; Image color analysis; image processing techniques; image segmentation; Image segmentation; learning (artificial intelligence); medical image processing; Microprocessors; peripheral blood smear images; Red blood cells; segmentation; segmentation red blood cells; segmentation step; SegNet; Vgg-16; white blood cells; White blood cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE International Conference on Electronics and Communication Engineering (ICECE)","","","","","","","","","","","","","","",""
"LX6KPHMW","journalArticle","2021","Khan, S.; Sajjad, M.; Hussain, T.; Ullah, A.; Imran, A. S.","A Review on Traditional Machine Learning and Deep Learning Models for WBCs Classification in Blood Smear Images","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3048172","","In computer vision, traditional machine learning (TML) and deep learning (DL) methods have significantly contributed to the advancements of medical image analysis (MIA) by enhancing prediction accuracy, leading to appropriate planning and diagnosis. These methods substantially improved the diagnoses of automatic brain tumor and leukemia/blood cancer detection and can assist the hematologist and doctors by providing a second opinion. This review provides an in-depth analysis of available TML and DL techniques for MIA with a significant focus on leukocytes classification in blood smear images and other medical imaging domains, i.e., magnetic resonance imaging (MRI), CT images, X-ray, and ultrasounds. The proposed review’s main impact is to find the most suitable TML and DL techniques in MIA, especially for leukocyte classification in blood smear images. The advanced DL techniques, particularly the evolving convolutional neural networks-based models in the MIA domain, are deeply investigated in this review article. The related literature study reveals that mainstream TML methods are vastly applied to microscopic blood smear images for white blood cells (WBC) analysis. They provide valuable information to medical specialists and help diagnose various hematic diseases such as AIDS and blood cancer (Leukaemia). Based on WBC related literature study and its extensive analysis presented in this study, we derive future research directions for scientists and practitioners working in the MIA domain.","2021","2021-01-29 19:26:31","2021-01-29 19:26:31","","10657-10673","","","9","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Access","","C:\Users\Sebastian\Zotero\storage\9XAFMW35\9311202.html; C:\Users\Sebastian\Zotero\storage\C52277L7\Khan et al. - 2021 - A Review on Traditional Machine Learning and Deep .pdf","","","Blood; Blood smear images; CNN; deep learning; Diseases; Feature extraction; Medical diagnostic imaging; medical image analysis; Medical services; Microscopy; Solid modeling; traditional machine learning; WBCs classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8JBPYTN","conferencePaper","2018","Sipes, R.; Li, D.","Using Convolutional Neural Networks for Automated Fine Grained Image Classification of Acute Lymphoblastic Leukemia","2018 3rd International Conference on Computational Intelligence and Applications (ICCIA)","","","10.1109/ICCIA.2018.00036","","Acute lymphoblastic leukemia can be diagnosed through a series of tests which include the minimally invasive microscopic examination of a stained peripheral blood smear. Manual microscopy is a slow process with variable accuracy depending on the laboratorian's skill level. Thus automating microscopy is a goal in cell biology. Current methods involve hand-selecting features from cell images as inputs to a variety of standard machine learning classifiers. Underrepresented in this filed, yet successful in practice, is the convolutional neural network that learns features from fine-grained images. This paper compares the performance of a convolutional neural network model with other models to determine the validity of using whole cell images rather than hand-selected features for acute lymphoblastic leukemia classification.","2018-07","2021-01-29 19:33:22","2021-01-29 19:33:22","","157-161","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Sebastian\Zotero\storage\YKLSJ5EC\8711512.html; C:\Users\Sebastian\Zotero\storage\MERZPGUQ\Sipes und Li - 2018 - Using Convolutional Neural Networks for Automated .pdf","","","acute lymphoblastic leukemia (ALL); acute lymphoblastic leukemia classification; automated fine grained image classification; automating microscopy; Biological system modeling; biomedical optical imaging; blood; cancer; cell biology; cell images; cellular biophysics; classification; convolutional neural nets; convolutional neural network (CNN); convolutional neural network model; Convolutional neural networks; feature extraction; Feature extraction; fine grained image; fine-grained images; hand-selected features; hand-selecting features; image classification; Image classification; image segmentation; laboratorian; learning (artificial intelligence); manual microscopy; medical image processing; Microscopy; minimally invasive microscopic examination; slow process; stained peripheral blood smear; standard machine learning classifiers; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 3rd International Conference on Computational Intelligence and Applications (ICCIA)","","","","","","","","","","","","","","",""
"4HJYM7I7","conferencePaper","2017","Ghosh, A.; Singh, S.; Sheet, D.","Simultaneous localization and classification of acute lymphoblastic leukemic cells in peripheral blood smears using a deep convolutional network with average pooling layer","2017 IEEE International Conference on Industrial and Information Systems (ICIIS)","","","10.1109/ICIINFS.2017.8300425","","It is important to analyze and classify the blood cells for the evaluation and diagnosis of many diseases. Acute Lymphoblastic Leukemia (ALL) is a blood cancer mostly found in children below the age of 7-8 years. It can be fatal if left untreated. ALL cells are abnormal lymphocytes that have a condensed appearance to their chromatin. ALL can be detected through the analysis of white blood cells (WBCs) also called as leukocytes. Presently the morphological analysis of blood cells is performed manually by skilled operators, which makes it a time-taking and non-standardized process. This paper presents a novel deep learning approach to automate the process of detecting ALL from whole-slide blood smear images. Previous work in this domain deal with the isolation and classification of WBCs based on certain morphological image features. However, this work uses a deep network for simultaneous localization and classification of WBCs. The network makes use of Average Pooling layers to figure out the hot-spots of WBC locations in whole-slide images. Although this workflow fails to successfully figure out all the ALL lymphocytes in a whole-slide image, but it does performs very well in the task of predicting whether the blood smear image belongs to an ALL patient or not.","2017-12","2021-01-29 19:52:15","2021-01-29 19:52:15","","1-6","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Sebastian\Zotero\storage\HR7W4JR9\Ghosh et al. - 2017 - Simultaneous localization and classification of ac.pdf; C:\Users\Sebastian\Zotero\storage\FPS9CTYJ\8300425.html","","","Acute lymphoblastic leukemia; acute lymphoblastic leukemic cells; age 7 year to 8 year; ALL cells; average pooling layer; blood; Blood; blood cancer; blood smear image; Bones; cancer; Cancer; Cells (biology); cellular biophysics; deep CNN; deep convolutional network; deep learning approach; digital pathology; diseases; feature extraction; Heating systems; image classification; image segmentation; Image segmentation; learning (artificial intelligence); localization; medical image processing; morphological image features; peripheral blood; Training; white blood cells; whole-slide blood; whole-slide image","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 IEEE International Conference on Industrial and Information Systems (ICIIS)","","","","","","","","","","","","","","",""
"26G9R8GM","journalArticle","2020","Chowdhury, A. B.; Roberson, J.; Hukkoo, A.; Bodapati, S.; Cappelleri, D. J.","Automated Complete Blood Cell Count and Malaria Pathogen Detection Using Convolution Neural Network","IEEE Robotics and Automation Letters","","2377-3766","10.1109/LRA.2020.2967290","","Complete blood cell count, which indicates the density of different blood cells in the human body is extremely important for evaluating the overall health of a person and also for detecting a wide range of disorders, including anemia, infection and leukemia. Hence, automating this task will not only increase the speed of diagnosis, but also lower the overall treatment cost. In this paper, we focus on using a convolution neural network to perform this complete blood cell count on blood smear images. The network is also trained to detect malarial pathogens in the blood, if present. Experiments show that the overall performance of the system has a mean average precision of over 0.95 when compared with the ground-truth. Furthermore, the system predicts the images containing malarial parasites as infected 100% of the time. The software is also ported to a low cost microcomputer for rapid prototyping.","2020-04","2021-01-29 19:58:18","2021-01-29 19:58:18","","1047-1054","","2","5","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Robotics and Automation Letters","","C:\Users\Sebastian\Zotero\storage\9GFZJLAH\Chowdhury et al. - 2020 - Automated Complete Blood Cell Count and Malaria Pa.pdf; C:\Users\Sebastian\Zotero\storage\JY2R53LY\8962211.html","","","automated complete blood cell count; Automation in life sciences: Biotechnology; blood; Blood; blood smear images; cellular biophysics; convolution neural network; convolutional neural nets; Databases; deep learning in robotics and automation; different blood cells; diseases; Image segmentation; malaria pathogen detection; malarial parasites; medical image processing; medical robots and systems; microcomputers; Pathogens; patient diagnosis; pharmaceutical and health care; rapid prototyping; Testing; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Z6LVYEX","conferencePaper","2020","Safuan, S. N. M.; Tomari, M. R. M.; Zakaria, W. N. W.; Othman, N.; Suriani, N. S.","Computer Aided System (CAS) Of Lymphoblast Classification For Acute Lymphoblastic Leukemia (ALL) Detection Using Various Pre-Trained Models","2020 IEEE Student Conference on Research and Development (SCOReD)","","","10.1109/SCOReD50371.2020.9251000","","Computer Aided System (CAS) is an automated, fast and accurate approach for detection and classification purposes. It is used to help experts or medical practitioner as a second opinion to analyze the blood smear image. It is done manually by some practitioners but it is time consuming and creates confusion as different pathologists give different observations and results as it is highly dependent on the experts' skills. Other than that, it is also challenging to analyze it manually as there are thousands of images. Some researchers used CAS by applying the machine learning to classify the data. However, significant features must be known before proceeding with classification process. In this paper, Convolutional Neural Network (CNN) is applied to classify the WBC types to identify Acute Lymphoblastic Leukemia (ALL). It is a better approach as no complex features need to be designed and it is a fast response program. Pre-trained models of deep learning which are AlexNet, GoogleNet and VGG-16 are compared to each other to find the model that can classify better. There are 260 images in IDB-2 database and 242 images in LISC database. Five types of WBC are classified for LISC database while for IDB-2 database, Lymphoblast and Non-Lymphoblast is classified specifically. As a result, for both database, AlexNet achieve the best result in terms of the training and testing accuracy for each class. Training accuracy for IDB-2 is 96.15% while testing accuracy for Lymphoblast and Non-Lymphoblast is 97.74% and 95.29% respectively. Training accuracy by AlexNet for LISC is 80.82% and testing accuracy is the highest for each class except Monocyte. Overall, AlexNet works better than the other two models for classification for both databases.","2020-09","2021-02-24 17:41:18","2021-02-24 17:41:18","","411-415","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2643-2447","","C:\Users\Sebastian\Zotero\storage\QQS93NU9\9251000.html; C:\Users\Sebastian\Zotero\storage\DCARK7QD\Safuan et al. - 2020 - Computer Aided System (CAS) Of Lymphoblast Classif.pdf","","","Acute Lymphoblastic Leukemia; acute lymphoblastic leukemia detection; AlexNet; blood; Blood; blood smear image; cancer; CAS; classification process; Computational modeling; computer aided system; convolutional neural nets; convolutional neural network; Convolutional Neural Network; Databases; deep learning; Deep learning; feature extraction; GoogleNet; IDB-2 database; image classification; learning (artificial intelligence); LISC database; machine learning; medical image processing; medical practitioner; pathologists; Research and development; Testing; Training; WBC types; White Blood Cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE Student Conference on Research and Development (SCOReD)","","","","","","","","","","","","","","",""
